date,sales
2011-01-01,808
2011-01-02,314
2011-01-03,4502
2011-01-04,2809
2011-01-05,3664
2011-01-06,623
2011-01-07,7122
2011-01-08,6295
2011-01-09,815
2011-01-10,6793
2011-01-11,6454
2011-01-12,2631
2011-01-13,2585
2011-01-14,6281
2011-01-15,2281
2011-01-16,150
2011-01-17,2310
2011-01-18,932
2011-01-19,2054
2011-01-20,2288
2011-01-21,8486
2011-01-22,3563
2011-01-23,2163
2011-01-24,3983
2011-01-25,1192
2011-01-26,5422
2011-01-27,2166
2011-01-28,1208
2011-01-29,910
2011-01-30,455
2011-01-31,7643
2011-02-01,2457
2011-02-02,7712
2011-02-03,366
2011-02-04,1866
2011-02-05,221
2011-02-06,3
2011-02-07,1799
2011-02-08,1008
2011-02-09,4579
2011-02-10,11863
2011-02-11,1008
2011-02-12,2870
2011-02-13,130
2011-02-14,4604
2011-02-15,10347
2011-02-16,9334
2011-02-17,631
2011-02-18,2303
2011-02-19,156
2011-02-21,4484
2011-02-22,2648
2011-02-23,4355
2011-02-24,5867
2011-02-25,3394
2011-02-26,4104
2011-02-27,625
2011-02-28,2418
2011-03-01,12567
2011-03-02,4147
2011-03-03,9480
2011-03-04,1244
2011-03-05,835
2011-03-06,135
2011-03-07,3866
2011-03-08,9873
2011-03-09,723
2011-03-10,4108
2011-03-11,2933
2011-03-12,4637
2011-03-14,6628
2011-03-15,1826
2011-03-16,1161
2011-03-17,4614
2011-03-18,30115
2011-03-19,972
2011-03-21,10680
2011-03-22,3879
2011-03-23,5068
2011-03-24,1362
2011-03-25,3266
2011-03-26,856
2011-03-27,30
2011-03-28,4261
2011-03-29,2951
2011-03-30,5762
2011-03-31,7747
2011-04-01,2586
2011-04-02,8923
2011-04-03,879
2011-04-04,5725
2011-04-05,10265
2011-04-06,4674
2011-04-07,3438
2011-04-08,6802
2011-04-09,367
2011-04-11,4548
2011-04-12,4012
2011-04-13,3052
2011-04-14,6252
2011-04-15,1728
2011-04-16,4041
2011-04-18,5907
2011-04-19,2860
2011-04-20,4138
2011-04-21,4703
2011-04-22,7064
2011-04-23,772
2011-04-24,166
2011-04-25,5026
2011-04-26,2087
2011-04-27,8437
2011-04-28,3912
2011-04-29,3070
2011-04-30,1493
2011-05-02,9275
2011-05-03,5259
2011-05-04,7513
2011-05-05,2998
2011-05-06,5966
2011-05-07,1982
2011-05-08,2502
2011-05-09,5018
2011-05-10,5828
2011-05-11,2821
2011-05-12,5519
2011-05-13,6774
2011-05-14,4543
2011-05-15,194
2011-05-16,1569
2011-05-17,3524
2011-05-18,9238
2011-05-19,3039
2011-05-20,1291
2011-05-21,10646
2011-05-22,226
2011-05-23,6533
2011-05-24,10474
2011-05-25,3046
2011-05-26,5965
2011-05-27,5867
2011-05-28,2104
2011-05-30,8638
2011-05-31,8410
2011-06-01,11481
2011-06-02,12518
2011-06-03,11351
2011-06-04,1926
2011-06-05,1139
2011-06-06,10266
2011-06-07,16748
2011-06-08,9530
2011-06-09,10245
2011-06-10,5474
2011-06-11,3161
2011-06-12,38
2011-06-13,6576
2011-06-14,4947
2011-06-15,6110
2011-06-16,4010
2011-06-17,14496
2011-06-18,5519
2011-06-19,58
2011-06-20,8529
2011-06-21,8720
2011-06-22,19197
2011-06-23,3134
2011-06-24,5390
2011-06-25,5899
2011-06-26,1269
2011-06-27,6653
2011-06-28,7197
2011-06-29,8333
2011-06-30,5300
2011-07-01,3844
2011-07-02,389
2011-07-04,1984
2011-07-05,3725
2011-07-06,3772
2011-07-07,4856
2011-07-08,3385
2011-07-09,2022
2011-07-11,5228
2011-07-12,5228
2011-07-13,1939
2011-07-14,3034
2011-07-15,934
2011-07-16,3626
2011-07-17,354
2011-07-18,5443
2011-07-19,4767
2011-07-20,7977
2011-07-21,6104
2011-07-22,3077
2011-07-23,3861
2011-07-24,102
2011-07-25,12337
2011-07-26,7918
2011-07-27,9804
2011-07-28,3211
2011-07-29,1916
2011-07-30,4205
2011-07-31,476
2011-08-01,6767
2011-08-02,5344
2011-08-03,10667
2011-08-04,13621
2011-08-05,5709
2011-08-06,1072
2011-08-07,38
2011-08-08,8099
2011-08-09,13282
2011-08-10,13153
2011-08-11,7410
2011-08-12,8970
2011-08-13,2603
2011-08-15,6932
2011-08-16,13433
2011-08-17,6625
2011-08-18,9053
2011-08-19,10154
2011-08-20,3032
2011-08-21,2996
2011-08-22,5181
2011-08-23,3313
2011-08-24,5166
2011-08-25,9631
2011-08-26,8122
2011-08-27,5397
2011-08-29,7615
2011-08-30,8906
2011-08-31,5279
2011-09-01,7252
2011-09-02,14364
2011-09-03,814
2011-09-05,4149
2011-09-06,10297
2011-09-07,6336
2011-09-08,36833
2011-09-09,11579
2011-09-10,3269
2011-09-11,1368
2011-09-12,14073
2011-09-13,6395
2011-09-14,17719
2011-09-15,10738
2011-09-16,5409
2011-09-17,2467
2011-09-18,750
2011-09-19,16206
2011-09-20,13651
2011-09-21,9811
2011-09-22,9068
2011-09-23,23864
2011-09-24,4394
2011-09-25,6373
2011-09-26,8480
2011-09-27,15353
2011-09-28,11437
2011-09-29,11747
2011-09-30,6034
2011-10-01,1625
2011-10-02,597
2011-10-03,8660
2011-10-04,8180
2011-10-05,2596
2011-10-06,17180
2011-10-07,11287
2011-10-08,3842
2011-10-09,250
2011-10-10,7858
2011-10-11,2025
2011-10-12,4660
2011-10-13,9799
2011-10-14,14453
2011-10-15,8230
2011-10-16,1364
2011-10-17,5984
2011-10-18,8291
2011-10-19,8884
2011-10-20,7524
2011-10-21,7272
2011-10-22,4954
2011-10-24,4550
2011-10-25,4803
2011-10-26,8069
2011-10-27,17293
2011-10-28,5778
2011-10-29,5023
2011-10-30,134
2011-10-31,7905
2011-11-01,18668
2011-11-02,8691
2011-11-03,19275
2011-11-04,18652
2011-11-05,10387
2011-11-06,1556
2011-11-07,13235
2011-11-08,4290
2011-11-09,12158
2011-11-10,10175
2011-11-11,24404
2011-11-12,4234
2011-11-13,346
2011-11-14,12537
2011-11-15,10495
2011-11-16,8007
2011-11-17,14063
2011-11-18,13519
2011-11-19,9876
2011-11-20,976
2011-11-21,5409
2011-11-22,9526
2011-11-23,8507
2011-11-24,10786
2011-11-25,18120
2011-11-26,6403
2011-11-27,303
2011-11-28,9289
2011-11-29,8444
2011-11-30,6168
2011-12-01,14118
2011-12-02,7295
2011-12-03,9014
2011-12-04,615
2011-12-05,10389
2011-12-06,12458
2011-12-07,10247
2011-12-08,13339
2011-12-09,14316
2011-12-10,5848
2011-12-11,797
2011-12-12,10225
2011-12-13,14356
2011-12-14,14350
2011-12-15,15082
2011-12-16,14193
2011-12-17,13733
2011-12-19,10806
2011-12-20,21879
2011-12-21,13003
2011-12-22,12809
2011-12-23,10613
2011-12-24,9786
2011-12-25,539
2011-12-26,14836
2011-12-27,15141
2011-12-28,18803
2011-12-29,10908
2011-12-30,6702
2011-12-31,7741
2012-01-02,10008
2012-01-03,3450
2012-01-04,2618
2012-01-05,5662
2012-01-06,545
2012-01-07,3699
2012-01-08,2177
2012-01-09,3599
2012-01-10,6297
2012-01-11,8259
2012-01-12,8383
2012-01-13,7107
2012-01-14,2040
2012-01-16,8371
2012-01-17,6565
2012-01-18,4540
2012-01-19,3370
2012-01-20,3578
2012-01-21,1383
2012-01-22,1494
2012-01-23,9670
2012-01-24,3226
2012-01-25,3514
2012-01-26,3415
2012-01-27,9423
2012-01-28,7629
2012-01-29,876
2012-01-30,3631
2012-01-31,1246
2012-02-01,1657
2012-02-02,11631
2012-02-03,959
2012-02-04,4977
2012-02-05,397
2012-02-06,8731
2012-02-07,4020
2012-02-08,2321
2012-02-09,4529
2012-02-10,3683
2012-02-11,204
2012-02-12,157
2012-02-13,4972
2012-02-14,4814
2012-02-15,5439
2012-02-16,1260
2012-02-17,1518
2012-02-18,5538
2012-02-19,176
2012-02-20,2678
2012-02-21,4678
2012-02-22,2872
2012-02-23,4380
2012-02-24,3960
2012-02-25,3308
2012-02-27,7572
2012-02-28,3049
2012-02-29,1041
2012-03-01,3913
2012-03-02,10723
2012-03-03,626
2012-03-05,8252
2012-03-06,5918
2012-03-07,8466
2012-03-08,4857
2012-03-09,3457
2012-03-10,1170
2012-03-11,382
2012-03-12,4086
2012-03-13,4670
2012-03-14,5569
2012-03-15,7148
2012-03-16,13262
2012-03-17,540
2012-03-19,11463
2012-03-20,17841
2012-03-21,4298
2012-03-22,5869
2012-03-23,3938
2012-03-24,1816
2012-03-26,8996
2012-03-27,7167
2012-03-28,4451
2012-03-29,7351
2012-03-30,3310
2012-03-31,3553
2012-04-01,511
2012-04-02,4606
2012-04-03,2208
2012-04-04,2904
2012-04-05,9765
2012-04-06,7147
2012-04-07,6396
2012-04-09,3254
2012-04-10,3484
2012-04-11,5854
2012-04-12,3762
2012-04-13,10058
2012-04-14,9263
2012-04-15,493
2012-04-16,14554
2012-04-17,5029
2012-04-18,8079
2012-04-19,7688
2012-04-20,6559
2012-04-21,1608
2012-04-22,6674
2012-04-23,2670
2012-04-24,3334
2012-04-25,9520
2012-04-26,5789
2012-04-27,6085
2012-04-28,7615
2012-04-29,428
2012-04-30,5723
2012-05-01,3650
2012-05-02,2317
2012-05-03,5684
2012-05-04,10825
2012-05-05,1395
2012-05-06,1148
2012-05-07,11202
2012-05-08,10823
2012-05-09,6782
2012-05-10,8661
2012-05-11,10523
2012-05-12,3612
2012-05-13,312
2012-05-14,6950
2012-05-15,10568
2012-05-16,8160
2012-05-17,8386
2012-05-18,5272
2012-05-19,856
2012-05-20,169
2012-05-21,6140
2012-05-22,9832
2012-05-23,8570
2012-05-24,9346
2012-05-25,12592
2012-05-26,2946
2012-05-27,11
2012-05-28,9207
2012-05-29,9659
2012-05-30,5712
2012-05-31,17060
2012-06-01,9045
2012-06-02,6167
2012-06-03,178
2012-06-04,7133
2012-06-05,11515
2012-06-06,8815
2012-06-07,7109
2012-06-08,9395
2012-06-09,3935
2012-06-10,3240
2012-06-11,13403
2012-06-12,11957
2012-06-13,9580
2012-06-14,6869
2012-06-15,6560
2012-06-16,13217
2012-06-17,1087
2012-06-18,14120
2012-06-19,15132
2012-06-20,13716
2012-06-21,11011
2012-06-22,11805
2012-06-23,5457
2012-06-24,331
2012-06-25,15916
2012-06-26,9252
2012-06-27,9845
2012-06-28,4775
2012-06-29,12080
2012-06-30,3536
2012-07-01,2542
2012-07-02,4706
2012-07-03,6683
2012-07-04,9368
2012-07-05,3104
2012-07-06,8492
2012-07-07,4382
2012-07-08,34
2012-07-09,5110
2012-07-10,2586
2012-07-11,9035
2012-07-12,5472
2012-07-13,8230
2012-07-14,3906
2012-07-15,27
2012-07-16,7017
2012-07-17,4969
2012-07-18,6273
2012-07-19,1636
2012-07-20,7689
2012-07-21,1753
2012-07-23,8516
2012-07-24,5629
2012-07-25,6363
2012-07-26,4226
2012-07-27,4140
2012-07-28,1349
2012-07-29,43
2012-07-30,5248
2012-07-31,6719
2012-08-01,12389
2012-08-02,17672
2012-08-03,20851
2012-08-04,1388
2012-08-05,2078
2012-08-06,7338
2012-08-07,9292
2012-08-08,8978
2012-08-09,12670
2012-08-10,15656
2012-08-11,1507
2012-08-12,693
2012-08-13,5724
2012-08-14,14006
2012-08-15,6844
2012-08-16,16140
2012-08-17,9296
2012-08-18,6422
2012-08-19,34
2012-08-20,17934
2012-08-21,6852
2012-08-22,9685
2012-08-23,10803
2012-08-24,19845
2012-08-25,2598
2012-08-26,2259
2012-08-27,10459
2012-08-28,16824
2012-08-29,15276
2012-08-30,7039
2012-08-31,14606
2012-09-01,5592
2012-09-02,2086
2012-09-03,11087
2012-09-04,10732
2012-09-05,9362
2012-09-06,15368
2012-09-07,13642
2012-09-08,2770
2012-09-09,3305
2012-09-10,15475
2012-09-11,7064
2012-09-12,6632
2012-09-13,13355
2012-09-14,15245
2012-09-15,9841
2012-09-16,1262
2012-09-17,16870
2012-09-18,17580
2012-09-19,5123
2012-09-20,17703
2012-09-21,14296
2012-09-22,5307
2012-09-23,414
2012-09-24,15319
2012-09-25,9277
2012-09-26,10444
2012-09-27,11330
2012-09-28,14806
2012-09-29,7434
2012-09-30,669
2012-10-01,14903
2012-10-02,6723
2012-10-03,9911
2012-10-04,8739
2012-10-05,16412
2012-10-06,4669
2012-10-07,96
2012-10-08,5036
2012-10-09,8867
2012-10-10,9466
2012-10-11,11845
2012-10-12,10978
2012-10-13,6027
2012-10-14,99
2012-10-15,15016
2012-10-16,4260
2012-10-17,14585
2012-10-18,5184
2012-10-19,11177
2012-10-20,4863
2012-10-21,155
2012-10-22,6704
2012-10-23,8751
2012-10-24,11083
2012-10-25,17692
2012-10-26,5814
2012-10-27,7346
2012-10-28,273
2012-10-29,6812
2012-10-30,12018
2012-10-31,7438
2012-11-01,11953
2012-11-02,18487
2012-11-03,5843
2012-11-04,820
2012-11-05,12278
2012-11-06,5125
2012-11-07,10643
2012-11-08,28560
2012-11-09,12353
2012-11-10,15566
2012-11-11,1546
2012-11-12,11422
2012-11-13,25619
2012-11-14,10204
2012-11-15,15133
2012-11-16,16250
2012-11-17,6544
2012-11-18,178
2012-11-19,7552
2012-11-20,16071
2012-11-21,12839
2012-11-22,7021
2012-11-23,13102
2012-11-24,7938
2012-11-25,385
2012-11-26,6164
2012-11-27,10680
2012-11-28,13773
2012-11-29,10124
2012-11-30,9339
2012-12-01,15574
2012-12-02,282
2012-12-03,22904
2012-12-04,16797
2012-12-05,6985
2012-12-06,11699
2012-12-07,11723
2012-12-08,4078
2012-12-09,2456
2012-12-10,8743
2012-12-11,12187
2012-12-12,7408
2012-12-13,16507
2012-12-14,5519
2012-12-15,11396
2012-12-16,2137
2012-12-17,13439
2012-12-18,7511
2012-12-19,22427
2012-12-20,20079
2012-12-21,10488
2012-12-22,5546
2012-12-23,606
2012-12-24,15732
2012-12-25,21570
2012-12-26,16946
2012-12-27,15328
2012-12-28,14817
2012-12-29,1869
2012-12-30,4825
2012-12-31,10667
2013-01-01,9368
2013-01-02,11612
2013-01-03,5791
2013-01-04,16270
2013-01-05,5795
2013-01-06,99
2013-01-07,12467
2013-01-08,6649
2013-01-09,4551
2013-01-10,7619
2013-01-11,4944
2013-01-12,7544
2013-01-13,46
2013-01-14,2585
2013-01-15,7603
2013-01-16,4987
2013-01-17,3971
2013-01-18,7588
